我的商店广告报告 - Shopee 马来西亚
用户名称:,kuca1.my
报告创建时间：,23/03/2023 23:12
时间：,22/03/2023 - 22/03/2023
商店ID:,833005508

排序,广告名称,状态,商品编号,广告类型,关键字/展示位置,匹配类型,搜寻结果,手动/自动,开始日期,结束日期,浏览数,点击数,点击率,平均排名,转化,直接转化,转化率,直接转化率,每点击成本,每一转化的成本,每一直接转化的成本,商品已出售,直接已售商品,销售金额,直接销售金额,花费,投资产出比,直接投资产出比,成本收入对比,直接成本收入对比,商品浏览数,商品点击数,商品点击率
49,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,kerusi gaming pink,广泛匹配,pink gaming chair,手动,28/10/2022 00:00,无限制,10,2,20.00%,0.5,0,0,0.00%,0.00%,0.66,0.00,0.00,0,0,0.00,0.00,1.32,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
50,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,almari kasut bertutup,广泛匹配,rak kasut besi bertutup,手动,28/10/2022 00:00,无限制,9,2,22.22%,9.444444444444445,0,0,0.00%,0.00%,0.15,0.00,0.00,0,0,0.00,0.00,0.30,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
51,Removable rabbit ear KUCA kerusi gaming gaming chair ergonomic chair pink chair office chair adjustable chair kerusi permainan kerusi kain,正常,16786579435,商品搜索广告,kerusi gaming pink,广泛匹配,Kerusi gaming pink,手动,28/10/2022 00:00,无限制,9,2,22.22%,1.3333333333333333,0,0,0.00%,0.00%,0.69,0.00,0.00,0,0,0.00,0.00,1.38,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
52,KUCA kerusi gaming x big eared dog gaming chair with foot rest ergonomic chair office chair computer chair kerusi,正常,21754155640,商品搜索广告,ergonomic chair,广泛匹配,ergonomic chair,手动,28/10/2022 00:00,无限制,8,2,25.00%,14.375,0,0,0.00%,0.00%,0.26,0.00,0.00,0,0,0.00,0.00,0.52,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
53,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rak kasut,广泛匹配,鞋架,手动,28/10/2022 00:00,无限制,7,2,28.57%,5.571428571428571,0,0,0.00%,0.00%,0.30,0.00,0.00,0,0,0.00,0.00,0.60,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
54,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,almari baju murah,广泛匹配,衣櫥 臥室,手动,09/12/2022 00:00,无限制,7,2,28.57%,8.571428571428571,0,0,0.00%,0.00%,0.13,0.00,0.00,0,0,0.00,0.00,0.26,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
55,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer baju,广泛匹配,Drawer Baju Besar,手动,09/12/2022 00:00,无限制,7,2,28.57%,5.428571428571429,0,0,0.00%,0.00%,0.11,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
56,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer baju,精准匹配,Drawer Baju,手动,09/12/2022 00:00,无限制,6,2,33.33%,4.833333333333333,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.43,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
57,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer cabinet,广泛匹配,almari laci,手动,09/12/2022 00:00,无限制,6,2,33.33%,4.0,0,0,0.00%,0.00%,0.18,0.00,0.00,0,0,0.00,0.00,0.37,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
58,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,rak kasut gantung,手动,28/10/2022 00:00,无限制,5,2,40.00%,1.8,0,0,0.00%,0.00%,0.25,0.00,0.00,0,0,0.00,0.00,0.50,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
59,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rack kasut,广泛匹配,Shoes rack,手动,28/10/2022 00:00,无限制,5,2,40.00%,10.2,0,0,0.00%,0.00%,0.24,0.00,0.00,0,0,0.00,0.00,0.49,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
